,x
GSM1624132,0.77848365
GSM1624133,0.77762075
GSM1624134,0.844213
GSM1624135,0.7421607
GSM1624136,0.7929227
GSM1624137,0.75043965
GSM1624138,0.8119524
GSM1624139,0.7462249
GSM1624140,0.8362807
GSM1624141,0.79544845
GSM1624142,0.787025
GSM1624143,0.81695395
GSM1624144,0.7533476
GSM1624145,0.77829235
GSM1624146,0.80412455
GSM1624147,0.83258105
GSM1624148,0.7530316
GSM1624149,0.82618255
GSM1624150,0.80916725
GSM1624151,0.77624515
GSM1624152,0.8193175
GSM1624153,0.80930435
GSM1624154,0.79511995
GSM1624155,0.7594712
GSM1624156,0.81709135
GSM1624157,0.81150275
GSM1624158,0.8411401
GSM1624159,0.83859435
GSM1624160,0.788494
GSM1624161,0.8517214
GSM1624162,0.8245483
GSM1624163,0.85247975
GSM1624164,0.81264675
GSM1624165,0.78033545
GSM1624166,0.8536286
GSM1624167,0.7987434
GSM1624168,0.78501325
GSM1624169,0.82162215
