"","KIF13B","group"
"Stage4_1",18.007333447767,"Stage4"
"Stage4_2",5.83537413278903,"Stage4"
"Stage4_3",17.4576172858308,"Stage4"
"Stage4_4",16.6453840699741,"Stage4"
"Stage4_5",16.6523109071073,"Stage4"
"Stage4_6",17.3644301520233,"Stage4"
"Stage4_7",19.0383022451625,"Stage4"
"Stage4_8",13.0447331498723,"Stage4"
"Stage4_9",13.1383508705862,"Stage4"
"Stage4_10",18.6557758346649,"Stage4"
"Stage4_11",3.2525675963575,"Stage4"
"Stage4_12",16.059429559196,"Stage4"
"Stage4_13",8.27783247172822,"Stage4"
"Stage4_14",15.7769782324709,"Stage4"
"Stage4_15",15.6855783332334,"Stage4"
"Stage4_16",16.4982902614777,"Stage4"
"Stage4_17",15.6524104325661,"Stage4"
"Stage4_18",17.5021861452268,"Stage4"
"Stage4_19",4.48078292727231,"Stage4"
"Stage5_1",6.16603528752596,"Stage5"
"Stage5_2",17.0825226242915,"Stage5"
"Stage5_3",3.85507777459049,"Stage5"
"Stage5_4",18.1318923816866,"Stage5"
"Stage5_5",11.281142680486,"Stage5"
"Stage5_6",3.2456087289027,"Stage5"
"Stage5_7",17.9330420390334,"Stage5"
"Stage5_8",10.5704153565893,"Stage5"
"Stage5_9",17.3260839144041,"Stage5"
"Stage5_10",15.9615979510231,"Stage5"
"Stage5_11",19.0110710012176,"Stage5"
"Stage5_12",17.5625604993054,"Stage5"
"Stage5_13",16.5062940390965,"Stage5"
"Stage5_14",10.3080432849085,"Stage5"
"Stage5_15",10.9583232365021,"Stage5"
"Stage5_16",13.2956682825784,"Stage5"
"Stage5_17",10.5458230826674,"Stage5"
"Stage5_18",13.940024713892,"Stage5"
"Stage5_19",11.5216381410439,"Stage5"
"Stage5_20",17.9404536873989,"Stage5"
"Stage5_21",4.71399911519529,"Stage5"
"Stage5_22",14.9607879508761,"Stage5"
"Stage5_23",15.7416557198869,"Stage5"
"Stage5_24",12.9699053154802,"Stage5"
"Stage5_25",13.3790183420661,"Stage5"
"Stage5_26",3.57236198082311,"Stage5"
"Stage5_27",6.14542270383977,"Stage5"
"Stage5_28",16.8786152426278,"Stage5"
"Stage5_29",3.79270104768545,"Stage5"
"Stage6_1",7.66348921749228,"Stage6"
"Stage6_2",8.56328306482121,"Stage6"
"Stage6_3",6.49471756070593,"Stage6"
"Stage6_4",6.19928946595408,"Stage6"
"Stage6_5",4.01769010670093,"Stage6"
"Stage6_6",12.4527424620653,"Stage6"
"Stage6_7",17.3148810566242,"Stage6"
"Stage6_8",16.5820530095603,"Stage6"
"Stage6_9",6.28361110498824,"Stage6"
"Stage6_10",5.0098974696912,"Stage6"
"Stage6_11",3.71460987208134,"Stage6"
"Stage6_12",14.9733686221364,"Stage6"
"Stage6_13",4.65170004015082,"Stage6"
"Stage6_14",15.457912486044,"Stage6"
"Stage6_15",14.1247981925398,"Stage6"
"Stage6_16",9.39368520511778,"Stage6"
"Stage6_17",6.68208810302541,"Stage6"
"Stage6_18",16.6808900907999,"Stage6"
"Stage6_19",19.5151871309091,"Stage6"
"Stage6_20",18.1365426623076,"Stage6"
"Stage6_21",10.8830849305443,"Stage6"
"Stage6_22",17.4377038588047,"Stage6"
"Stage6_23",13.3215910337844,"Stage6"
"Stage6_24",9.47912084708565,"Stage6"
"Stage6_25",17.1738695862409,"Stage6"
"Stage6_26",6.55885060219809,"Stage6"
"Stage6_27",8.18399456646533,"Stage6"
"Stage6_28",17.009395096816,"Stage6"
"Stage6_29",6.24197534299543,"Stage6"
"Stage6_30",3.24775498450151,"Stage6"
"Stage6_31",5.8099951219601,"Stage6"
"Stage6_32",18.4996539845118,"Stage6"
"Stage6_33",5.59474141181568,"Stage6"
"Stage6_34",12.0164849606843,"Stage6"
"Stage6_35",14.8217064595138,"Stage6"
"Stage6_36",8.19721715579705,"Stage6"
"Stage6_37",17.6241592350223,"Stage6"
"Stage6_38",4.48078292727231,"Stage6"
